epoch,phase,train_loss,train_dice_loss,train_bce_loss,train_pre_loss,train_post_loss,val_loss,val_dice_pre,val_dice_post,val_dice_mean,lr_encoder,lr_decoder,epoch_time_s,train_time_s,val_time_s,best_val_metric,best_epoch,grad_norm_mean,grad_norm_max
1,frozen,1.6197884704036174,0.9641327999103387,0.6556556701678751,1.8026246499241727,1.4369522915896527,1.6187909056988705,0.009683078490592566,0.0003191433447023777,0.0050011109176474715,8.5e-05,0.001,3384.3560473918915,2829.3182339668274,555.0378134250641,0.0050011109176474715,1,1.794288254029627,1.9191786050796509
2,full,0.35973723136054764,0.3154386588915743,0.04429857245735177,0.40749128835749054,0.3119831741276871,0.31626274091826734,0.5665725162878054,0.6266812571051263,0.5966268866964659,8.327845137861615e-05,0.0009797464868072487,1614.208431482315,1471.8842737674713,142.32415771484375,0.5966268866964659,2,1.7884355168751855,11.143973350524902
3,full,0.317792691368243,0.2787314598496368,0.03906123152296427,0.3604478519999689,0.27513753084808407,0.3263956519245259,0.4947785769618863,0.5881546578853796,0.5414666174236329,7.825327514532521e-05,0.0009206267664155906,1651.749496936798,1513.3496234416962,138.39987349510193,0.5966268866964659,2,2.339324615738857,19.438112258911133
