epoch,phase,train_loss,val_metric,lr_encoder,lr_head,epoch_time_s,train_time_s,val_time_s,best_val_metric,best_epoch,grad_norm_mean,grad_norm_max,train_recon,train_recon_fg,train_fourier,train_sim,train_std,train_cov,train_vicreg,val_recon,val_recon_fg,val_fourier,val_std,val_cov,val_sim,val_vicreg,val_ssl_loss
1,random+L4,0.8469082321048216,1.4075920472398473,0.000175,0.000175,2037.0231683254242,1666.1553797721863,370.8677885532379,1.4075920472398473,1,0.5448148734912619,0.5863967537879944,0.8398359443861744,1.4085400159298436,0.7072288104239514,0.17855878341875456,0.6586200204264584,1.557909776394716,0.0,0.8398050605386927,1.4075920472398473,0.7077387222921215,0.7359895628431569,0.35529429685090474,0.07308265188897865,0.0,0.8468824481042687
2,random+L4+L3,0.4863258012116604,0.9857350026351818,0.00035,0.00035,488.53928565979004,394.5557200908661,93.98356556892395,0.9857350026351818,2,0.1678578505132622,0.5358330011367798,0.4823730499669459,1.073461775047459,0.3952751028494506,0.043267706082514436,0.6604380487963251,6.131127636406701,0.0,0.4541393279453407,0.9857350026351818,0.38574817978241593,0.6404965876957068,6.786482614019643,0.056570227271404816,0.0,0.4579968093961909
3,random+L4+L3+L2,0.5119858345212787,0.9642460337583569,0.0003488996367313175,0.0003488996367313175,479.94879055023193,394.25313544273376,85.69565510749817,0.9642460337583569,3,0.18476833665952933,4.563381195068359,0.5080478836432045,1.1406890978403794,0.3937951157358278,0.07782197499280613,0.6599256450348638,7.497852782384372,0.0,0.448457010558262,0.9642460337583569,0.3819955439095336,0.6494951006295024,6.681573255050585,0.04925755503169005,0.0,0.45227696570221354
4,random+L4+L3+L2+L1,0.4768130890259287,0.9803796396163351,0.0003456123846318191,0.0003456123846318191,487.44382524490356,405.645215511322,81.79860973358154,0.9642460337583569,3,0.23521651668606963,5.303050518035889,0.47294675918271206,1.0460761515952943,0.3866330015111575,0.04888664493889085,0.6615937130194621,5.717292915376527,0.0,0.4441966850688492,0.9803796396163351,0.38181304830859825,0.6621905925193271,5.193853130663075,0.04700273678498568,0.0,0.4480148163682597
5,full,0.4455774439073099,0.9673421083441103,0.00034017958280396435,0.00034017958280396435,487.15446162223816,405.02430534362793,82.13015627861023,0.9642460337583569,3,0.14962353191125638,0.4800807237625122,0.44177757569351106,0.9684287271447741,0.37998681402840667,0.05855424835953632,0.6586092820767192,4.1109616119310965,0.0,0.4399586446619264,0.9673421083441103,0.3800397367005187,0.6745258350879098,3.5591373397532293,0.055790398863778595,0.0,0.44375904228376306
6,full,0.44036287772035654,0.9472624990675185,0.0003326695518829233,0.0003326695518829233,489.7853603363037,407.9298324584961,81.85552787780762,0.9472624990675185,6,0.13819768500515456,0.33599555492401123,0.4365881978024018,0.954338548621647,0.3774680010568995,0.0644479871895322,0.6582863034619674,3.906130819828075,0.0,0.43344316678346645,0.9472624990675185,0.37627859953520953,0.6625741366027058,4.393005744846547,0.06140958040880696,0.0,0.4372059528666418
7,full,0.43461148157950036,0.915619324946749,0.0003231767348649497,0.0003231767348649497,492.91750955581665,406.1919991970062,86.72551035881042,0.915619324946749,7,0.12299149500559722,0.35253003239631653,0.43087114071182936,0.9384188183561922,0.37403411156032795,0.0731825199081791,0.6579561100905579,3.6216805494393807,0.0,0.4292340419718609,0.915619324946749,0.37243168034415314,0.6544184537901394,4.383363440416861,0.07442611250756444,0.0,0.4329583580079286
8,full,0.430799506199259,0.9198173258615576,0.0003118205094319052,0.0003118205094319052,497.00951623916626,409.1450836658478,87.86443257331848,0.915619324946749,7,0.10758691539643321,0.34310463070869446,0.4270842835721543,0.9282320361615957,0.3715222969092654,0.08031044766180749,0.6576952977509135,3.4485271602616776,0.0,0.42687991779783496,0.9198173258615576,0.37108039164888684,0.6669411921270804,3.5756967781822464,0.07576714189732132,0.0,0.43059072114419245
9,full,0.42844512986589084,0.9247524905319952,0.0002987436867076458,0.0002987436867076458,496.3768105506897,407.2438097000122,89.13300085067749,0.915619324946749,7,0.09817937300275863,0.2698361575603485,0.42474426208413063,0.921523790189404,0.37008678949153123,0.08505448648546166,0.657264926053016,3.357199218281812,0.0,0.4238552397863876,0.9247524905319952,0.3700378184445238,0.6655852924222532,3.3471957065057065,0.08095911447552667,0.0,0.4275556173589494
10,full,0.426428108542545,0.904684743443549,0.00028411071532527836,0.00028411071532527836,490.29068779945374,408.2864770889282,82.00421071052551,0.904684743443549,10,0.09217153864371012,0.23154161870479584,0.4227413150246515,0.9162367105195716,0.3686793625282693,0.08750013776456862,0.6569180947693545,3.334515507304827,0.0,0.42229454845621966,0.904684743443549,0.36842315237303286,0.641960422773868,4.954856153847515,0.09297318511826981,0.0,0.4259787799367582
