image_index,source_image,source_npy,source_path,n_patches,worst_channel,worst_hp_var_ratio,worst_hf_energy_frac,noisy_channels,flagged,error,dyn_ch0,dyn_ch1,dyn_ch2,hf_ch0,hf_ch1,hf_ch2,hp_ch0,hp_ch1,hp_ch2,std_ch0,std_ch1,std_ch2
272,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI1h1uM_WO_6_Multichannel Z-Stack_20251205_157.vsi,5_PSI1h1uM_WO_6_Multichannel Z-Stack_20251205_157.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI1h1uM_WO_6_Multichannel Z-Stack_20251205_157.vsi,324,ch2,0.12813086538897497,0.0961533960282714,,False,,0.6294559240341187,0.6260162591934204,0.659649133682251,0.04234544383241724,0.04286853483992944,0.0961533960282714,0.07784329756299325,0.07327161869680544,0.12813086538897497,0.12123862653970718,0.11765684187412262,0.12867042422294617
273,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI1h1uM_WO_7_Multichannel Z-Stack_20251205_158.vsi,5_PSI1h1uM_WO_7_Multichannel Z-Stack_20251205_158.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI1h1uM_WO_7_Multichannel Z-Stack_20251205_158.vsi,324,ch2,0.16599550158349835,0.1252819928166268,,False,,0.7069717049598694,0.7264437675476074,0.7279411554336548,0.0620167449433972,0.0552361138379999,0.1252819928166268,0.10312050506572865,0.09119547198440858,0.16599550158349835,0.14693838357925415,0.15238232910633087,0.15030740201473236
274,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI1h1uM_WO_8_Multichannel Z-Stack_20251205_159.vsi,5_PSI1h1uM_WO_8_Multichannel Z-Stack_20251205_159.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI1h1uM_WO_8_Multichannel Z-Stack_20251205_159.vsi,324,ch2,0.13339302356017538,0.10015786799059491,,False,,0.6653027534484863,0.6392617225646973,0.6892856955528259,0.041571059462266025,0.050628238417368195,0.10015786799059491,0.07553600745186258,0.08485104769130866,0.13339302356017538,0.13179154694080353,0.12659262120723724,0.13643942773342133
275,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI1h1uM_WO_9_Multichannel Z-Stack_20251205_160.vsi,5_PSI1h1uM_WO_9_Multichannel Z-Stack_20251205_160.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI1h1uM_WO_9_Multichannel Z-Stack_20251205_160.vsi,324,ch2,0.14166916644351063,0.10551102863745217,,False,,0.6426513195037842,0.6612903475761414,0.6666666865348816,0.04126156503301879,0.05378923021995308,0.10551102863745217,0.0801825309557935,0.08937123704464926,0.14166916644351063,0.1231716200709343,0.1289009153842926,0.13176266849040985
276,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_10_Multichannel Z-Stack_20251205_183.vsi,5_PSI_01uM_24hod_10_Multichannel Z-Stack_20251205_183.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_10_Multichannel Z-Stack_20251205_183.vsi,324,ch2,0.19176168771112947,0.15560210461182217,,False,,0.6677796244621277,0.7385057210922241,0.6770833134651184,0.0720847817739698,0.06836085951611552,0.15560210461182217,0.11006061465765506,0.0922343300676253,0.19176168771112947,0.13351139426231384,0.15283623337745667,0.13777410984039307
277,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_1_Multichannel Z-Stack_20251205_173.vsi,5_PSI_01uM_24hod_1_Multichannel Z-Stack_20251205_173.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_1_Multichannel Z-Stack_20251205_173.vsi,324,ch2,0.19002350922023173,0.1520094874628398,,False,,0.6315789222717285,0.6595744490623474,0.6559139490127563,0.05062365215462338,0.07513338222577108,0.1520094874628398,0.09033809891892089,0.10650047880667836,0.19002350922023173,0.12263862788677216,0.1278383880853653,0.12913720309734344
278,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_2_Multichannel Z-Stack_20251205_174.vsi,5_PSI_01uM_24hod_2_Multichannel Z-Stack_20251205_174.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_2_Multichannel Z-Stack_20251205_174.vsi,324,ch2,0.2020515815631279,0.16560763293582595,,False,,0.6336866617202759,0.6605504751205444,0.6832298040390015,0.05158852011284952,0.07576027245205748,0.16560763293582595,0.09141330563695452,0.10651696677092014,0.2020515815631279,0.12267181277275085,0.12720729410648346,0.13450177013874054
279,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_3_Multichannel Z-Stack_20251205_175.vsi,5_PSI_01uM_24hod_3_Multichannel Z-Stack_20251205_175.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_3_Multichannel Z-Stack_20251205_175.vsi,324,ch2,0.13751721669056943,0.10966069673743342,,False,,0.6888633966445923,0.6499999761581421,0.6307692527770996,0.05063654777854011,0.04189791423166062,0.10966069673743342,0.08400733652803795,0.06207396895092368,0.13751721669056943,0.14486677944660187,0.1359240561723709,0.13279061019420624
280,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_4_Multichannel Z-Stack_20251205_176.vsi,5_PSI_01uM_24hod_4_Multichannel Z-Stack_20251205_176.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_4_Multichannel Z-Stack_20251205_176.vsi,324,ch2,0.1608249001644092,0.12851088672932257,,False,,0.6973684430122375,0.7110552787780762,0.6976743936538696,0.0581273238893629,0.06580279379396005,0.12851088672932257,0.09541062045401125,0.09468145972154568,0.1608249001644092,0.14245830476284027,0.14595521986484528,0.1425333023071289
281,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_5_Multichannel Z-Stack_20251205_177.vsi,5_PSI_01uM_24hod_5_Multichannel Z-Stack_20251205_177.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_5_Multichannel Z-Stack_20251205_177.vsi,324,ch2,0.1739055010428044,0.1413582031039757,,False,,0.6913408041000366,0.7052896618843079,0.699999988079071,0.05897184549363464,0.06633490649516444,0.1413582031039757,0.09623394365027285,0.0954533657172902,0.1739055010428044,0.1413516104221344,0.14438901841640472,0.14420095086097717
282,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_6_Multichannel Z-Stack_20251205_178.vsi,5_PSI_01uM_24hod_6_Multichannel Z-Stack_20251205_178.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_6_Multichannel Z-Stack_20251205_178.vsi,324,ch2,0.20127493252746248,0.16980963589151277,,False,,0.6541666388511658,0.7204610705375671,0.6871165633201599,0.06048697931747587,0.06687379019116396,0.16980963589151277,0.09505086549326723,0.08976035254622863,0.20127493252746248,0.12932343780994415,0.1451176404953003,0.1366657018661499
283,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_7_Multichannel Z-Stack_20251205_179.vsi,5_PSI_01uM_24hod_7_Multichannel Z-Stack_20251205_179.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_7_Multichannel Z-Stack_20251205_179.vsi,324,ch2,0.23680274247211028,0.20477680635176068,,False,,0.6327230930328369,0.6589595079421997,0.7058823704719543,0.04909922352373062,0.07780833347425072,0.20477680635176068,0.08241861520612777,0.10500667944658051,0.23680274247211028,0.12114380300045013,0.12981656193733215,0.1378525197505951
284,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_7_Multichannel Z-Stack_20251205_180.vsi,5_PSI_01uM_24hod_7_Multichannel Z-Stack_20251205_180.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_7_Multichannel Z-Stack_20251205_180.vsi,324,ch2,0.19202874320257654,0.16086185338726278,,False,,0.6258596777915955,0.6807692050933838,0.715976357460022,0.06391488303183378,0.04889505878410209,0.16086185338726278,0.09732029811725176,0.06658230867799772,0.19202874320257654,0.12358622997999191,0.12930899858474731,0.1456824094057083
285,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_8_Multichannel Z-Stack_20251205_181.vsi,5_PSI_01uM_24hod_8_Multichannel Z-Stack_20251205_181.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_8_Multichannel Z-Stack_20251205_181.vsi,324,ch2,0.19705912388685748,0.16330200930808256,,False,,0.6447831392288208,0.672897219657898,0.680232584476471,0.05599737096371065,0.06612742089113632,0.16330200930808256,0.09246968813669923,0.09743860426747371,0.19705912388685748,0.12737534940242767,0.13270142674446106,0.1352560967206955
286,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_9_Multichannel Z-Stack_20251205_182.vsi,5_PSI_01uM_24hod_9_Multichannel Z-Stack_20251205_182.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_01uM_24hod_9_Multichannel Z-Stack_20251205_182.vsi,324,ch2,0.21178770965694038,0.1805638665570303,,False,,0.6639232039451599,0.6706730723381042,0.6933333277702332,0.05918752882077626,0.06792221785040335,0.1805638665570303,0.09543864446388203,0.09932284920458664,0.21178770965694038,0.13023582100868225,0.13195346295833588,0.1374482810497284
287,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_10uM_24hod_10_Multichannel Z-Stack_20251205_205.vsi,5_PSI_10uM_24hod_10_Multichannel Z-Stack_20251205_205.npy,\\srv-fs.ad.nudz.cz\BV_data\Brejtr\ActiveProjects\Microscopy\20251205\5_PSI_10uM_24hod_10_Multichannel Z-Stack_20251205_205.vsi,324,ch2,0.16565309339930195,0.1350956533795269,,False,,0.650586724281311,0.6583541035652161,0.6804733872413635,0.04173899020001456,0.055095714834445045,0.1350956533795269,0.07870410549747024,0.08817020702016203,0.16565309339930195,0.12934350967407227,0.1270560622215271,0.1352366805076599
