epoch,phase,train_loss,train_dice_loss,train_bce_loss,train_pre_loss,train_post_loss,val_loss,val_dice_pre,val_dice_post,val_dice_mean,lr_encoder,lr_decoder,epoch_time_s,train_time_s,val_time_s,best_val_metric,best_epoch,grad_norm_mean,grad_norm_max
1,frozen,1.678065788799804,0.9933980981806403,0.6846676911955931,1.8915428049645062,1.4645887729883975,1.6789079705523096,0.009683078490592566,0.0003191433447023777,0.0050011109176474715,8.5e-05,0.001,1177.7835955619812,1078.063199520111,99.72039604187012,0.0050011109176474715,1,1.9186799182402439,1.9960529804229736
2,full,0.46087903619937526,0.43609204614539915,0.02478699035177856,0.5027691260772792,0.41898894647255164,0.41465528914869465,0.5710806621784877,0.6277760958608385,0.5994283790196631,8.327845137861615e-05,0.0009797464868072487,1689.4776062965393,1598.5570740699768,90.9205322265625,0.5994283790196631,2,0.929300613637425,42.22400665283203
3,full,0.3915221216507178,0.3703996918583006,0.02112242987304182,0.4419956803600756,0.3410485629401979,0.38879710012000357,0.5934541998134906,0.6596960227133528,0.6265751112634217,7.825327514532521e-05,0.0009206267664155906,1684.737220287323,1593.9384772777557,90.79874300956726,0.6265751112634217,3,1.9463517891693145,111.50140380859375
4,full,0.38124326839078476,0.36110306526193603,0.020140203073210555,0.43298970442483176,0.3294968324485481,0.3899540123480369,0.6000862083407679,0.6523957394405726,0.6262409738906702,7.033158119267462e-05,0.0008274303669726426,1678.5736768245697,1588.1775603294373,90.39611649513245,0.6265751112634217,3,2.335363120677374,89.5467758178711
5,full,0.37206773267923215,0.3526832045630757,0.019384528027396784,0.4212384240254655,0.3228970411493782,0.45355469156912276,0.5344025790164832,0.5916277168075104,0.5630151479119968,6.015513805258018e-05,0.0007077075065009433,1680.3091170787811,1589.9196562767029,90.38946080207825,0.6265751112634217,3,2.7217791954090584,131.38328552246094
6,full,0.364797699348712,0.3459081624073388,0.018889537016404848,0.41359039758756405,0.3160050013905205,0.365813770005644,0.6266021752473322,0.6698993197494176,0.648250747498375,4.854838062661463e-05,0.0005711574191366427,1684.732993364334,1593.712708234787,91.02028512954712,0.648250747498375,6,3.014678411957413,168.40203857421875
7,full,0.35873034678956234,0.34030284541870426,0.01842750148968854,0.4056689660014758,0.3117917278402961,0.3921808021755185,0.5956614643019417,0.6490219938881405,0.622341729095041,3.6451619373385385e-05,0.0004288425808633575,1680.2512624263763,1589.402274131775,90.84898829460144,0.648250747498375,6,3.4166241793862335,147.7706298828125
8,full,0.35238063230824684,0.33440903403275174,0.017971598248910772,0.3983993441438251,0.3063619203686556,0.412078674711524,0.5731053564289433,0.6319906585208097,0.6025480074748766,2.4844861947419833e-05,0.0002922924934990568,1680.853243112564,1590.0896127223969,90.76363039016724,0.648250747498375,6,3.7332301682046936,128.59771728515625
