epoch,phase,train_loss,val_metric,lr_encoder,lr_head,epoch_time_s,train_time_s,val_time_s,best_val_metric,best_epoch,grad_norm_mean,grad_norm_max,train_recon,train_recon_fg,train_fourier,train_sim,train_std,train_cov,train_vicreg,val_recon,val_recon_fg,val_fourier,val_std,val_cov,val_sim,val_vicreg,val_ssl_loss
1,full,1.897556887981587,1.401841479294309,0.00015,0.00015,948.1829538345337,822.5445756912231,125.63837814331055,1.401841479294309,1,2.986248572742132,4.157058238983154,0.8406534157973483,1.4048867626745898,0.7087827520374965,0.043536002478121144,0.6650651816026609,3.2812828316276237,20.996312433615664,0.8393283330099413,1.401841479294309,0.7079399786191933,0.6737037865856613,3.1131531058179305,0.04154891333776467,20.994470567738965,1.8961312855674086
2,full,1.2687361318814128,1.0263961502228782,0.0003,0.0003,946.8570725917816,821.4867596626282,125.37031292915344,1.0263961502228782,2,0.689971533484925,2.861119031906128,0.49275646529587586,1.093946303472035,0.3988504741985099,0.005944636107039028,0.4981014378985068,2.83867111253111,15.43982297943947,0.47482461473915016,1.0263961502228782,0.39083050330926417,0.43130583028668323,3.6805619988102145,0.007569449233442322,14.652443957239502,1.2113551222876218
3,full,1.1653217749488085,1.0079944944113828,0.0002996788384857905,0.0002996788384857905,946.1293253898621,820.7267625331879,125.4025628566742,1.0079944944113828,3,0.5502529410519322,5.570195198059082,0.46882097137377676,1.0337275931037457,0.38970818622667985,0.008697077589498175,0.4060609535615247,3.4831233788701823,13.85207414447813,0.45534966233071317,1.0079944944113828,0.3845593309804295,0.36216466759474536,4.659352188253224,0.00986636070227634,13.960127891226207,1.1572016620457395
4,full,1.1049225293379976,0.9966269222538123,0.00029871672920607153,0.00029871672920607153,946.5877430438995,821.1242353916168,125.46350765228271,0.9966269222538123,4,0.42772007055748673,0.8995530009269714,0.4518219421904786,0.9919012428674483,0.3834362422725312,0.010271639174508644,0.35698039986585317,3.804023318945017,12.985324287773075,0.44596210802985486,0.9966269222538123,0.38085284550091747,0.3296714144922821,4.785183042176207,0.010861331631851554,13.298501679066861,1.1146957289413566
5,full,1.075670109655624,0.962338986021749,0.00029711779206048454,0.00029711779206048454,946.3322241306305,820.93230509758,125.39991903305054,0.962338986021749,5,0.3589211560337615,0.7462137937545776,0.44452060764669477,0.9747630470901504,0.37987451846326203,0.010693781687948097,0.3319200482079409,3.9816691321986064,12.5470149059941,0.43977011221178464,0.962338986021749,0.3769946376259407,0.29533794779009587,5.282198046923576,0.010521209233681137,12.928676958834187,1.0899739211864685
6,full,1.0542054963963372,0.9406519157163212,0.0002948888739433602,0.0002948888739433602,953.6376173496246,821.2355329990387,132.40208435058594,0.9406519157163212,6,0.31047110055062105,0.6462690234184265,0.43903557471650884,0.9599925383813399,0.37673889226595264,0.009630982835840126,0.31488167519744176,4.11523398555311,12.228050437188687,0.4351849205484997,0.9406519157163212,0.37416828839519944,0.2818035033534975,5.544069883082243,0.009487781984110674,12.82635205515315,1.0802442188120067
7,full,1.037757979299789,0.9421072479490931,0.0002920395194242658,0.0002920395194242658,945.6721415519714,820.2928652763367,125.37927627563477,0.9406519157163212,6,0.27323351210837526,0.5215647220611572,0.43469349673031865,0.9478706568479538,0.37423681703053024,0.008378959151030398,0.3023199845469536,4.218968463795526,11.986442055917324,0.4318234689449996,0.9421072479490931,0.3725498806448018,0.2660830355762096,5.7893045743306475,0.008460940317031039,12.652903978297774,1.0681941790527172
8,full,1.0245752159253996,0.9251736288660029,0.000288581929876693,0.000288581929876693,945.6234006881714,820.199159860611,125.42424082756042,0.9251736288660029,8,0.24411206459976675,0.5078554749488831,0.43147179347119835,0.9389205627647558,0.3722685035738282,0.0071270026855653895,0.2923765648296453,4.300025279808762,11.787614479100794,0.42836029989442576,0.9251736288660029,0.3702107434638877,0.2607157640019606,5.776018590962842,0.0066419793397523045,12.459962187634872,1.0550605259584578
9,full,1.0140360292411388,0.9319218810131488,0.00028453091122990323,0.00028453091122990323,945.6239490509033,820.1863961219788,125.43755292892456,0.9251736288660029,8,0.2235587205863873,0.5056496858596802,0.4289813460992243,0.9321261565376046,0.3707810795508829,0.006214639731276696,0.2843071095141253,4.363893519218703,11.626937227141589,0.42676548721192037,0.9319218810131488,0.36931942888859953,0.24762302670585976,6.282526709167252,0.005936779188208477,12.621521885475415,1.0615347918499722
10,full,1.0057593738114028,0.9107970977097415,0.0002799038105676658,0.0002799038105676658,945.4220752716064,820.0268359184265,125.39523935317993,0.9107970977097415,10,inf,inf,0.42712433132013883,0.9268559286917063,0.36968559256397693,0.005592303318181601,0.27780922023313387,4.413725380162547,11.498763461758319,0.4251188947243637,0.9107970977097415,0.367662103769931,0.23667957575133677,6.201477834794405,0.005554770009613104,12.257336484358998,1.041662352808406
11,full,0.9987352747554169,0.9055700451693731,0.0002747204418453818,0.0002747204418453818,945.7537717819214,820.2899370193481,125.46383476257324,0.9055700451693731,11,0.18858699637108056,0.412929505109787,0.4256237062968706,0.922539791330359,0.3686158191552736,0.005030679608838759,0.2722646601890263,4.4561245033615515,11.38850796850104,0.4244794719451376,0.9055700451693731,0.36701565768834804,0.23296880666236305,6.125541983472274,0.0049696712988369475,12.074003923251833,1.0318498408303278
12,full,0.9930129223188063,0.9195811900306731,0.00026900300104368524,0.00026900300104368524,945.5012912750244,820.162369966507,125.33892130851746,0.9055700451693731,11,inf,inf,0.42451927785698634,0.9198298096320683,0.36794004919833706,0.004581429181564459,0.2677057217386432,4.489105870849208,11.29628462809369,0.42269929696558123,0.9195811900306731,0.3672154897384429,0.22822741153981355,6.3238083396511575,0.0045872472090583835,12.144174772255429,1.0335801993862967
13,full,0.988502438747345,0.9037142692880238,0.0002627759711218466,0.0002627759711218466,945.7253186702728,820.3589041233063,125.36641454696655,0.9037142692880238,13,0.16084036997806533,0.2963956892490387,0.42393165546700473,0.9181025344178193,0.367817969978752,0.004257598996234189,0.26368322517526777,4.519331166170593,11.217851776825754,0.42201156149642743,0.9037142692880238,0.36625801557012266,0.21905870718902418,6.478838466972894,0.00433035605684732,12.06356505776166,1.02885240316391
14,full,0.9843838376770342,0.9052530263693591,0.00025606601717798207,0.00025606601717798207,945.6224491596222,820.2595410346985,125.3629081249237,0.9037142692880238,13,0.15434931310355887,0.3098091185092926,0.42307686917763904,0.9158505890938572,0.3672505273462686,0.004052409088839532,0.2603811122813171,4.5418509863373036,11.152689033881165,0.4215864644068457,0.9052530263693591,0.36617817034882105,0.2135395168253545,6.605980501639262,0.004139057980599195,12.047944865423196,1.027645498179318
15,full,0.980592039854903,0.9110963328947289,0.0002489018722650103,0.0002489018722650103,945.7854161262512,820.371401309967,125.41401481628418,0.9037142692880238,13,0.14757263908316767,0.2840197682380676,0.42254917567273725,0.9144247847616225,0.36695073603799466,0.0038633380963596607,0.2569887449726799,4.566164833710606,11.087466906784172,0.42107272427180287,0.9110963328947289,0.3657689413774326,0.2122280728281214,6.656389852588096,0.0038483976560892462,12.05830160776774,1.027645497063126
16,full,0.9778260107999458,0.9278252564565965,0.00024131421435130807,0.00024131421435130807,945.615492105484,820.2726058959961,125.34288620948792,0.9037142692880238,13,inf,inf,0.4220403704540174,0.9129924260471997,0.36671991495037437,0.003705314979398329,0.2546636962604926,4.5831432983391265,11.042368585902048,0.42152410232172477,0.9278252564565965,0.36659392591719325,0.20636852509743264,6.742695735188459,0.0039783451010295175,12.001367497533447,1.0252584388640043
17,full,0.9749518813271272,0.8924978672341908,0.0002333355349529403,0.0002333355349529403,945.8929224014282,820.5210251808167,125.37189722061157,0.8924978672341908,17,0.13464803960090294,0.3212888240814209,0.421481539012122,0.911750942580682,0.36638099064392254,0.003570872328123358,0.2523367426505214,4.598440056008504,10.996130431505074,0.4207392161928313,0.8924978672341908,0.36502044645141574,0.19699204693572797,7.201019447841001,0.003509801117466128,12.213565619250808,1.035067712546288
