epoch,phase,train_loss,train_dice_loss,train_bce_loss,train_pre_loss,train_post_loss,val_loss,val_dice_pre,val_dice_post,val_dice_mean,lr_encoder,lr_decoder,epoch_time_s,train_time_s,val_time_s,best_val_metric,best_epoch,grad_norm_mean,grad_norm_max
1,frozen,1.6620563924303293,0.9748811435818467,0.6871752474724903,1.8559466849026451,1.468166098879533,1.662742045026786,0.03912579362830246,0.0011324012242342695,0.020129097426268363,8.5e-05,0.001,1164.1524512767792,990.7567658424377,173.39568543434143,0.020129097426268363,1,1.9023418783341977,1.99204421043396
2,full,0.5466715138800113,0.4817091747827862,0.0649623389586381,0.6254706473213669,0.4678723804316828,0.49508189381011386,0.5651725187318485,0.5857141312251243,0.5754433249784864,8.327845137861615e-05,0.0009797464868072487,1532.810801267624,1453.1027963161469,79.70800495147705,0.5754433249784864,2,1.8625813438742307,37.841346740722656
3,full,0.4800874326878415,0.4213298187252512,0.05875761432227748,0.5434706394989616,0.41670422610450397,0.47308472520260425,0.5651438257561555,0.6227261931651894,0.5939350094606725,7.825327514532521e-05,0.0009206267664155906,1531.9640822410583,1452.2502534389496,79.71382880210876,0.5939350094606725,3,2.9711045110500875,49.29389190673828
4,full,0.4639367405374566,0.4078966356433883,0.05604010502597301,0.5264679527686216,0.4014055285410471,0.5315082829853671,0.5285913640429191,0.5448225188223718,0.5367069414326454,7.033158119267462e-05,0.0008274303669726426,1527.5636231899261,1447.5759115219116,79.98771166801453,0.5939350094606725,3,3.715122252507471,89.2599105834961
5,full,0.4543032464627226,0.3997325336081508,0.05457071317038759,0.5161708621771617,0.3924356314781173,0.529052538316789,0.5333149870166509,0.5533035875893735,0.5433092873030122,6.015513805258018e-05,0.0007077075065009433,1530.5823163986206,1450.7872524261475,79.79506397247314,0.5939350094606725,3,4.068041123141831,153.8494415283203
6,full,0.44567580089017206,0.39270679085791305,0.0529690100679953,0.5056495233531155,0.3857020786433896,0.48187290848143954,0.562789217690697,0.6008033574206669,0.5817962875556819,4.854838062661463e-05,0.0005711574191366427,1532.3347012996674,1452.7426207065582,79.59208059310913,0.5939350094606725,3,4.206486092721444,102.15728759765625
