epoch,phase,train_loss,train_dice_loss,train_bce_loss,train_pre_loss,train_post_loss,val_loss,val_dice_pre,val_dice_post,val_dice_mean,lr_encoder,lr_decoder,epoch_time_s,train_time_s,val_time_s,best_val_metric,best_epoch,grad_norm_mean,grad_norm_max
1,frozen,0.9059619444187523,0.9059619444187523,0.0,0.8344908466931904,0.977433042246584,0.9053689583135578,0.03912579362830246,0.0011324012242342695,0.020129097426268363,8.5e-05,0.001,2791.5375397205353,2438.9888491630554,352.54869055747986,0.020129097426268363,1,0.6277296269945004,1.084224820137024
2,full,0.4563378768515018,0.4563378768515018,0.0,0.3856314592699126,0.5270442945911441,0.439382370969432,0.48730694284076825,0.4478743378033486,0.46759064032205844,8.327845137861615e-05,0.0009797464868072487,1549.8004531860352,1468.6617074012756,81.13874578475952,0.46759064032205844,2,0.8641797976387916,20.39244270324707
3,full,0.43477704992273486,0.43477704992273486,0.0,0.3448278929249691,0.5247262065300162,0.4457521602353443,0.44804511995913704,0.4478743378033486,0.4479597288812428,7.825327514532521e-05,0.0009206267664155906,1548.760002374649,1466.9973480701447,81.7626543045044,0.46759064032205844,2,1.1141700372088255,25.293262481689453
4,full,0.42982548193094083,0.42982548193094083,0.0,0.33495398333656157,0.5246969804230504,0.4342504542044532,0.5265896026532136,0.4478743378033486,0.48723197022828113,7.033158119267462e-05,0.0008274303669726426,1549.594755411148,1467.9025909900665,81.69216442108154,0.48723197022828113,4,1.1597277452485588,25.027355194091797
5,full,0.42431364028674357,0.42431364028674357,0.0,0.3238281121660815,0.5247991683981085,0.4392278839179147,0.4855354174497692,0.4478743378033486,0.4667048776265589,6.015513805258018e-05,0.0007077075065009433,1545.3006799221039,1463.960035085678,81.34064483642578,0.48723197022828113,4,1.4232316957648674,28.27261734008789
6,full,0.4204355953190074,0.4204355953190074,0.0,0.3160157771829026,0.5248554135201929,0.42600822538242744,0.486775624325545,0.4478743378033486,0.4673249810644468,4.854838062661463e-05,0.0005711574191366427,1545.2448456287384,1463.992570400238,81.25227522850037,0.48723197022828113,4,1.5485007639487993,45.508888244628906
7,full,0.41651163093200655,0.41651163093200655,0.0,0.3082088131444202,0.5248144486917011,0.41823317415933303,0.5213289840061336,0.4478743378033486,0.4846016609047411,3.6451619373385385e-05,0.0004288425808633575,1546.003779411316,1464.793108701706,81.21067070960999,0.48723197022828113,4,1.7604446775491887,39.42428970336914
8,full,0.41381860825298095,0.41381860825298095,0.0,0.3028772126455014,0.5247600038790551,0.41286722897114264,0.5216100636882832,0.4478743378033486,0.4847422007458159,2.4844861947419833e-05,0.0002922924934990568,1545.5507383346558,1463.7780265808105,81.77271175384521,0.48723197022828113,4,1.8692991212823893,55.110931396484375
