epoch,phase,train_loss,train_dice_loss,train_bce_loss,train_pre_loss,train_post_loss,val_loss,val_dice_pre,val_dice_post,val_dice_mean,lr_encoder,lr_decoder,epoch_time_s,train_time_s,val_time_s,best_val_metric,best_epoch,grad_norm_mean,grad_norm_max
1,frozen,0.964132817751754,0.964132817751754,0.0,0.9369528002698788,0.9913128353730878,0.9637030713233846,0.009683430533816663,0.0003197674522492843,0.005001598993032973,8.5e-05,0.001,2717.169575214386,2364.0726385116577,353.09693670272827,0.005001598993032973,1,0.4353767740588872,0.7480422258377075
2,full,0.3550395565469186,0.3550395565469186,0.0,0.3336740318837431,0.37640508121009403,0.34045925583729897,0.5458492443439396,0.5789347918368482,0.5623920180903939,8.327845137861615e-05,0.0009797464868072487,962.7150745391846,777.4427497386932,185.27232480049133,0.5623920180903939,2,1.1120117421576765,15.683680534362793
3,full,0.33774611466835747,0.33774611466835747,0.0,0.30180194372878655,0.3736902855986311,0.33749554909160195,0.5411901204672382,0.5789347918368482,0.5600624561520432,7.825327514532521e-05,0.0009206267664155906,1030.0130438804626,917.9777669906616,112.03527688980103,0.5623920180903939,2,1.284025995919344,20.184799194335938
4,full,0.3334017375100888,0.3334017375100888,0.0,0.29330625480691425,0.3734972202225606,0.3429775158002604,0.4929703382952896,0.5789347918368482,0.5359525650660688,7.033158119267462e-05,0.0008274303669726426,1016.9979884624481,946.5161437988281,70.48184466362,0.5623920180903939,2,1.4240360168304054,20.154605865478516
5,full,0.3293559411547891,0.3293559411547891,0.0,0.28490251442177805,0.3738093678878001,0.3539155712713201,0.45263410005521015,0.5789347918368482,0.5157844459460291,6.015513805258018e-05,0.0007077075065009433,1027.1620185375214,808.7458808422089,218.4161376953125,0.5623920180903939,2,1.6510397511480788,23.849117279052734
6,full,0.32622363628342227,0.32622363628342227,0.0,0.2791229894521586,0.37332428312398325,0.32928889976689335,0.5448374464686684,0.5789347918368482,0.5618861191527582,4.854838062661463e-05,0.0005711574191366427,923.8786084651947,767.3867812156677,156.49182724952698,0.5623920180903939,2,1.7357607755424769,34.77454376220703
7,full,0.3237627755831378,0.3237627755831378,0.0,0.2740099863893732,0.3735155647769024,0.32685036380699584,0.535817792922153,0.5789347918368482,0.5573762923795006,3.6451619373385385e-05,0.0004288425808633575,810.6449315547943,704.7788653373718,105.86606621742249,0.5623920180903939,2,2.077165601411005,61.69635009765625
8,full,0.3207343070374285,0.3207343070374285,0.0,0.26770276063653686,0.3737658534383201,0.334912880912897,0.5103359267431519,0.5789347918368482,0.54463535929,2.4844861947419833e-05,0.0002922924934990568,833.4233076572418,712.9469079971313,120.47639966011047,0.5623920180903939,2,2.2746049705035714,49.6900634765625
9,full,0.3174776377534368,0.3174776377534368,0.0,0.261321971353624,0.3736333041532496,0.32843866038659436,0.5282403360723186,0.5789347918368482,0.5535875639545833,1.4668418807325389e-05,0.0001725696330273575,798.0834667682648,724.918559551239,73.16490721702576,0.5623920180903939,2,2.3091766436458925,49.87479782104492
10,full,0.3146119458387914,0.3146119458387914,0.0,0.2555983672739284,0.3736255244036543,0.32406191059220385,0.535178002694049,0.5789347918368482,0.5570563972654485,6.746724854674795e-06,7.937323358440934e-05,955.8929152488708,734.8924193382263,221.00049591064453,0.5623920180903939,2,2.7234700689165785,68.73506164550781
11,full,0.31245408194278185,0.31245408194278185,0.0,0.251284223295675,0.37362394059918597,0.3190068017836173,0.5544955768875857,0.5789347918368482,0.5667151843622169,1.7215486213838667e-06,2.025351319275137e-05,957.649685382843,763.0545222759247,194.59516310691833,0.5667151843622169,11,2.793247908476994,86.50432586669922
12,full,0.31093278510059924,0.31093278510059924,0.0,0.24817748111414847,0.37368808908705,0.3244535128714339,0.5292581727616358,0.5789347918368482,0.554096482299242,0.0,0.0,883.8306131362915,761.3741142749786,122.45649886131287,0.5667151843622169,11,2.883981472785137,47.2145881652832
