epoch,train_loss,val_loss,lr,epoch_time_s,train_time_s,val_time_s,best_val_loss,best_epoch,grad_norm_mean,grad_norm_max
63,0.00499554,0.00495499,1.23e-04,63.0,55.9,7.1,0.00495499,63,inf,inf
64,0.00498356,0.00495109,1.22e-04,62.1,54.8,7.3,0.00495109,64,inf,inf
65,0.00498983,0.00494175,1.21e-04,64.8,56.0,8.8,0.00494175,65,0.0246,0.1070
66,0.00500467,0.00567655,1.20e-04,72.2,63.0,9.3,0.00494175,65,0.0260,0.2967
67,0.00500537,0.00488851,1.19e-04,65.3,58.7,6.6,0.00488851,67,0.0263,0.2667
68,0.00492996,0.00491009,1.18e-04,66.8,58.7,8.1,0.00488851,67,0.0235,0.2565
69,0.00494583,0.00495507,1.17e-04,67.2,58.6,8.6,0.00488851,67,inf,inf
70,0.00484250,0.00488036,1.16e-04,68.6,60.4,8.2,0.00488036,70,0.0224,0.0592
71,0.00506342,0.00481857,1.15e-04,66.3,57.8,8.5,0.00481857,71,0.0278,0.8848
72,0.00495744,0.00492284,1.14e-04,61.6,52.8,8.8,0.00481857,71,0.0256,0.5170
73,0.00481243,0.00479835,1.13e-04,66.3,59.7,6.6,0.00479835,73,0.0223,0.0550
74,0.00479396,0.00469163,1.12e-04,58.8,52.4,6.3,0.00469163,74,0.0218,0.1765
75,0.00472380,0.00471228,1.11e-04,57.8,51.0,6.8,0.00469163,74,0.0210,0.0531
76,0.00475571,0.00478991,1.10e-04,58.6,52.3,6.3,0.00469163,74,0.0233,0.0847
77,0.00468843,0.00466545,1.08e-04,60.2,52.9,7.3,0.00466545,77,0.0215,0.0494
78,0.00470468,0.00462731,1.07e-04,54.3,47.9,6.3,0.00462731,78,0.0231,0.1084
79,0.00467642,0.00470527,1.06e-04,55.2,49.0,6.3,0.00462731,78,0.0219,0.2142
80,0.00463074,0.00469843,1.05e-04,63.0,55.0,8.0,0.00462731,78,0.0212,0.0657
81,0.00463013,0.00460187,1.04e-04,61.7,55.1,6.6,0.00460187,81,0.0218,0.0805
82,0.00471770,0.00459455,1.03e-04,61.3,53.4,7.9,0.00459455,82,inf,inf
83,0.00458489,0.00460653,1.02e-04,59.4,52.4,7.0,0.00459455,82,0.0207,0.0585
84,0.00457311,0.00458530,1.01e-04,60.6,52.5,8.1,0.00458530,84,0.0211,0.0514
85,0.00458400,0.00455228,9.94e-05,63.7,55.9,7.8,0.00455228,85,inf,inf
86,0.00457121,0.00451417,9.82e-05,64.3,57.8,6.5,0.00451417,86,0.0224,0.0685
87,0.00459835,0.00458285,9.70e-05,65.0,57.0,8.0,0.00451417,86,0.0224,0.1748
88,0.00450449,0.00455541,9.58e-05,64.9,57.6,7.4,0.00451417,86,0.0196,0.0511
89,0.00455069,0.00457929,9.46e-05,62.5,55.4,7.1,0.00451417,86,0.0217,0.2999
90,0.00450025,0.00460200,9.34e-05,67.0,58.9,8.0,0.00451417,86,0.0199,0.0525
91,0.00449512,0.00452524,9.22e-05,63.8,54.9,8.9,0.00451417,86,0.0206,0.0703
92,0.00448867,0.00444098,9.10e-05,64.0,55.0,9.0,0.00444098,92,inf,inf
93,0.00447006,0.00508670,8.98e-05,67.6,59.5,8.1,0.00444098,92,0.0194,0.1661
94,0.00449065,0.00443160,8.86e-05,66.9,58.9,8.0,0.00443160,94,0.0218,0.0618
95,0.00445541,0.00444396,8.73e-05,64.3,57.1,7.2,0.00443160,94,0.0206,0.0760
96,0.00443518,0.00442281,8.61e-05,66.5,58.0,8.6,0.00442281,96,0.0203,0.0564
97,0.00443211,0.00447715,8.49e-05,69.2,59.9,9.4,0.00442281,96,inf,inf
98,0.00453212,0.00460702,8.37e-05,68.6,59.8,8.8,0.00442281,96,0.0239,0.4439
99,0.00443422,0.00439113,8.24e-05,64.6,57.7,6.9,0.00439113,99,0.0208,0.1270
