epoch,phase,train_loss,train_dice_loss,train_bce_loss,train_pre_loss,train_post_loss,val_loss,val_dice_pre,val_dice_post,val_dice_mean,lr_encoder,lr_decoder,epoch_time_s,train_time_s,val_time_s,best_val_metric,best_epoch,grad_norm_mean,grad_norm_max
1,frozen,0.9630088498041608,0.9630088498041608,0.0,0.9331663240510241,0.9928513755480002,0.9616896901872048,0.039126414058618116,0.0011317138181920756,0.020129063938405096,8.5e-05,0.001,1319.971190214157,1151.9799273014069,167.99126291275024,0.020129063938405096,1,0.26479299702685816,0.4830174446105957
2,full,0.5036736422322541,0.5036736422322541,0.0,0.47943574035805486,0.527911544134345,0.47888025891549174,0.5509102709407099,0.4478743378033486,0.49939230437202925,8.327845137861615e-05,0.0009797464868072487,932.5023667812347,838.0817685127258,94.42059826850891,0.49939230437202925,2,0.8159976201455891,28.21261978149414
3,full,0.4834738345539267,0.4834738345539267,0.0,0.4422247707704322,0.5247228986535275,0.5189778385650985,0.44687165504209564,0.4478743378033486,0.4473729964227221,7.825327514532521e-05,0.0009206267664155906,929.5048990249634,834.121853351593,95.38304567337036,0.49939230437202925,2,1.0301742721892309,35.04911422729492
4,full,0.4755569753000134,0.4755569753000134,0.0,0.42641740100206366,0.5246965493841265,0.4629776743717834,0.5813613908872166,0.4478743378033486,0.5146178643452826,7.033158119267462e-05,0.0008274303669726426,933.7383534908295,838.5633814334869,95.17497205734253,0.5146178643452826,4,1.413109021352273,93.42211151123047
5,full,0.46997362541215243,0.46997362541215243,0.0,0.4151481561812498,0.5247990945686771,0.4929453114528117,0.5057838809521796,0.4478743378033486,0.4768291093777641,6.015513805258018e-05,0.0007077075065009433,948.1639659404755,852.6777787208557,95.48618721961975,0.5146178643452826,4,1.4312531991153281,86.17403411865234
6,full,0.4675861819265339,0.4675861819265339,0.0,0.41031693651716716,0.5248554278844382,0.49466234011174093,0.5020135536842548,0.4478743378033486,0.4749439457438017,4.854838062661463e-05,0.0005711574191366427,997.8293218612671,905.0265250205994,92.80279684066772,0.5146178643452826,4,1.5550379230351887,82.67520141601562
7,full,0.46250270092994966,0.46250270092994966,0.0,0.40019093367187303,0.5248144678719199,0.4657290368324455,0.5601141674990368,0.4478743378033486,0.5039942526511927,3.6451619373385385e-05,0.0004288425808633575,989.7850489616394,896.8036434650421,92.98140549659729,0.5146178643452826,4,1.9804195612343587,120.42654418945312
8,full,0.4584647823730026,0.4584647823730026,0.0,0.3921695433509385,0.5247600213857695,0.4796634321973096,0.5259709217628404,0.4478743378033486,0.48692262978309453,2.4844861947419833e-05,0.0002922924934990568,974.022078037262,880.6432020664215,93.37887597084045,0.5146178643452826,4,2.170812624873167,125.6344223022461
9,full,0.45424131685793817,0.45424131685793817,0.0,0.3836163912282833,0.5248662427758077,0.49392454981698586,0.5001066992381857,0.4478743378033486,0.4739905185207672,1.4668418807325389e-05,0.0001725696330273575,936.3042573928833,843.1174836158752,93.18677377700806,0.5146178643452826,4,2.4821645700648913,111.35980987548828
10,full,0.4503413872792445,0.4503413872792445,0.0,0.3758632286051249,0.5248195456372577,0.47217190020813116,0.5408900261662453,0.4478743378033486,0.49438218198479694,6.746724854674795e-06,7.937323358440934e-05,936.3069732189178,837.1155903339386,99.19138288497925,0.5146178643452826,4,2.754782010989551,113.48045349121094
11,full,0.4461750079662821,0.4461750079662821,0.0,0.3676383923468994,0.5247116236786373,0.46735811731103455,0.5567993672544881,0.4478743378033486,0.5023368525289184,1.7215486213838667e-06,2.025351319275137e-05,983.171101808548,888.5728979110718,94.5982038974762,0.5146178643452826,4,2.8684751223223643,230.62295532226562
12,full,0.4438871714704737,0.4438871714704737,0.0,0.3628682928902741,0.5249060500227816,0.47300771563297445,0.5401151534367366,0.4478743378033486,0.4939947456200426,0.0,0.0,928.7556293010712,835.7064576148987,93.04917168617249,0.5146178643452826,4,3.125817318018244,146.78439331054688
