epoch,phase,train_loss,train_dice_loss,train_bce_loss,train_pre_loss,train_post_loss,val_loss,val_dice_pre,val_dice_post,val_dice_mean,lr_encoder,lr_decoder,epoch_time_s,train_time_s,val_time_s,best_val_metric,best_epoch,grad_norm_mean,grad_norm_max
1,frozen,0.9891738248604022,0.9891738248604022,0.0,0.9804273365700864,0.9979203127044501,0.9886504666544103,0.009683242343923952,0.00031962801977023896,0.005001435181847095,8.5e-05,0.001,2213.657051086426,1965.3321118354797,248.32493925094604,0.005001435181847095,1,0.14160594668438664,0.25946786999702454
2,full,0.4857776799034243,0.4857776799034243,0.0,0.5945608099971058,0.3769945497074731,0.49378617136828046,0.38625404904119326,0.5789347918368482,0.4825944204390207,8.327845137861615e-05,0.0009797464868072487,838.8103487491608,782.8312745094299,55.979074239730835,0.4825944204390207,2,0.002872439876610056,0.7231500744819641
3,full,0.4826313824814282,0.4826313824814282,0.0,0.5915759865736705,0.37368677848215837,0.49378201173282765,0.38625404904119326,0.5789347918368482,0.4825944204390207,7.825327514532521e-05,0.0009206267664155906,839.9258308410645,784.0240058898926,55.901824951171875,0.4825944204390207,2,8.835997949842787e-06,4.195307337795384e-05
4,full,0.482458417584085,0.482458417584085,0.0,0.5914199622349403,0.37349687317495806,0.4937818331031833,0.38625404904119326,0.5789347918368482,0.4825944204390207,7.033158119267462e-05,0.0008274303669726426,838.4679269790649,782.3380250930786,56.12990188598633,0.4825944204390207,2,4.1199654942220644e-07,2.76400623988593e-06
5,full,0.4825771549779639,0.4825771549779639,0.0,0.5913449659434556,0.3738093444959289,0.4937818331031833,0.38625404904119326,0.5789347918368482,0.4825944204390207,6.015513805258018e-05,0.0007077075065009433,839.6322224140167,782.9587514400482,56.673470973968506,0.4825944204390207,2,2.1761833990041166e-08,3.518448465911206e-07
6,full,0.48247519184750565,0.48247519184750565,0.0,0.5916261089478467,0.37332427457051687,0.4937818331031833,0.38625404904119326,0.5789347918368482,0.4825944204390207,4.854838062661463e-05,0.0005711574191366427,838.8660318851471,782.9639887809753,55.90204310417175,0.4825944204390207,2,3.6371546495415904e-09,1.8301997783964907e-07
7,full,0.4824749518716378,0.4824749518716378,0.0,0.5914343428247303,0.37351556069541136,0.4937818331031833,0.38625404904119326,0.5789347918368482,0.4825944204390207,3.6451619373385385e-05,0.0004288425808633575,838.3851466178894,782.9267301559448,55.45841646194458,0.4825944204390207,2,2.7759612849096084e-09,1.3409872678948886e-07
8,full,0.48255309225467524,0.48255309225467524,0.0,0.5913403339159877,0.3737658508071995,0.4937818331031833,0.38625404904119326,0.5789347918368482,0.4825944204390207,2.4844861947419833e-05,0.0002922924934990568,838.5750966072083,782.8340861797333,55.741010427474976,0.4825944204390207,2,2.9594698704184954e-09,3.2573984753980767e-07
9,full,0.482499092022392,0.482499092022392,0.0,0.5913648828573559,0.3736333008341327,0.4937818331031833,0.38625404904119326,0.5789347918368482,0.4825944204390207,1.4668418807325389e-05,0.0001725696330273575,837.0598404407501,780.9449365139008,56.114903926849365,0.4825944204390207,2,2.947648205053995e-09,1.0985562681753436e-07
10,full,0.4825217336895053,0.4825217336895053,0.0,0.5914179455692878,0.37362552166096674,0.4937818331031833,0.38625404904119326,0.5789347918368482,0.4825944204390207,6.746724854674795e-06,7.937323358440934e-05,840.2776892185211,785.0783562660217,55.19933295249939,0.4825944204390207,2,3.0385301109301957e-09,6.945460029328387e-08
11,full,0.48260115874741494,0.48260115874741494,0.0,0.5915783800102213,0.3736239373916361,0.4937818331031833,0.38625404904119326,0.5789347918368482,0.4825944204390207,1.7215486213838667e-06,2.025351319275137e-05,839.6910247802734,783.0427796840668,56.648245096206665,0.4825944204390207,2,3.0928322173905346e-09,5.3086093743104357e-08
12,full,0.4825009463953165,0.4825009463953165,0.0,0.5913138051446561,0.3736880878505162,0.4937818331031833,0.38625404904119326,0.5789347918368482,0.4825944204390207,0.0,0.0,839.5685784816742,783.4866523742676,56.081926107406616,0.4825944204390207,2,3.1459475003383933e-09,1.4788355429118383e-07
