epoch,phase,train_loss,train_dice_loss,train_bce_loss,train_pre_loss,train_post_loss,val_loss,val_dice_pre,val_dice_post,val_dice_mean,lr_encoder,lr_decoder,epoch_time_s,train_time_s,val_time_s,best_val_metric,best_epoch,grad_norm_mean,grad_norm_max
1,frozen,0.9630088573814164,0.9630088573814164,0.0,0.9331663445328573,0.9928513705460819,0.9616896725480211,0.03912579362830246,0.0011324012242342695,0.020129097426268363,8.5e-05,0.001,2229.9002554416656,1905.5021121501923,324.3981432914734,0.020129097426268363,1,0.2647856586535623,0.4830824136734009
2,full,0.5832825269003291,0.5832825269003291,0.0,0.6387099286840888,0.5278551248934354,0.5897769790550845,0.34945524164044395,0.4478743378033486,0.3986647897218963,8.327845137861615e-05,0.0009797464868072487,1678.4836571216583,1587.404629945755,91.07902717590332,0.3986647897218963,2,0.0072465508025863065,1.2510521411895752
3,full,0.5788087990397021,0.5788087990397021,0.0,0.6328992019798952,0.5247183963412373,0.5897711751844352,0.34945524164044395,0.4478743378033486,0.3986647897218963,7.825327514532521e-05,0.0009206267664155906,1689.6611161231995,1598.083661556244,91.57745456695557,0.3986647897218963,2,1.2152130800554117e-05,0.00027625623624771833
4,full,0.5787464735419083,0.5787464735419083,0.0,0.6327968050399337,0.5246961422577195,0.5897708808206837,0.34945524164044395,0.4478743378033486,0.3986647897218963,7.033158119267462e-05,0.0008274303669726426,1686.2915914058685,1594.9606132507324,91.33097815513611,0.3986647897218963,2,5.613177104439762e-07,8.85897043190198e-06
5,full,0.5788890873887501,0.5788890873887501,0.0,0.6329791377122903,0.5247990365073751,0.5897708808206837,0.34945524164044395,0.4478743378033486,0.3986647897218963,6.015513805258018e-05,0.0007077075065009433,1681.18195438385,1590.0917711257935,91.09018325805664,0.3986647897218963,2,2.8248968843010672e-08,3.9955270381142327e-07
6,full,0.5788212926464769,0.5788212926464769,0.0,0.6327871993019063,0.5248553853495372,0.5897708808206837,0.34945524164044395,0.4478743378033486,0.3986647897218963,4.854838062661463e-05,0.0005711574191366427,1676.0190970897675,1585.429831981659,90.58926510810852,0.3986647897218963,2,4.260051965860936e-09,1.126206484514114e-06
7,full,0.5788898663538664,0.5788898663538664,0.0,0.6329652977480641,0.524814434671454,0.5897708808206837,0.34945524164044395,0.4478743378033486,0.3986647897218963,3.6451619373385385e-05,0.0004288425808633575,1682.8013484477997,1591.5650639533997,91.23628449440002,0.3986647897218963,2,2.8470071411906113e-09,3.3134787713606784e-07
