epoch,phase,train_loss,val_metric,lr_encoder,lr_head,epoch_time_s,train_time_s,val_time_s,best_val_metric,best_epoch,grad_norm_mean,grad_norm_max,train_recon,train_recon_fg,train_fourier,train_sim,train_std,train_cov,train_vicreg,val_recon,val_recon_fg,val_fourier,val_std,val_cov,val_sim,val_vicreg,val_ssl_loss
1,full,1.8944253519268854,1.400387823170629,0.00015,0.00015,2051.7467029094696,1838.3943676948547,213.35233521461487,1.400387823170629,1,2.9337284197470894,4.060727596282959,0.839150798832712,1.4007052382442848,0.707812680422894,0.043051367377050995,0.6650121511400111,3.2623401549330517,20.963928083700637,0.8381757621107431,1.400387823170629,0.7076546681338343,0.6704599466817133,3.226236912299847,0.04132876139262627,21.02095464509109,1.8963000593514279
2,full,1.2478770216001323,1.0283445378829692,0.0003,0.0003,1073.0883672237396,1004.2708466053009,68.81752061843872,1.0283445378829692,2,0.6869229638457663,3.043508768081665,0.48677218056346744,1.080592822900579,0.3968086351006309,0.006328135026058902,0.4818286880896501,2.938814267424718,15.14273487424558,0.4681974178758161,1.0283445378829692,0.3898614505241657,0.41095759560321937,3.813745682815026,0.00808507735551945,14.289812456328294,1.1865866644629117
3,full,1.1461205316101846,0.9787217045652455,0.0002990568314839864,0.0002990568314839864,1072.2925252914429,1003.427145242691,68.86538004875183,0.9787217045652455,3,0.5178748869617109,7.761102199554443,0.4631414909624249,1.0189333724006553,0.38761540454315263,0.009042901979713627,0.39055107447084475,3.592208068429327,13.582057506760206,0.450386119710988,0.9787217045652455,0.3828425203931743,0.3312103853143495,5.365453598417084,0.010184085240651822,13.900315370230839,1.1492303231666827
4,full,1.0893365169412519,0.9686366981473462,0.0002962391868272735,0.0002962391868272735,1072.92942237854,1003.8835670948029,69.04585528373718,0.9686366981473462,4,0.3940531461288227,1.0698151588439941,0.4468913996832137,0.9804664369832519,0.38144875525788297,0.010346985028905256,0.34482580178811506,3.893292631839682,12.772612301118535,0.44186520802563634,0.9686366981473462,0.3789769698833597,0.302119793151987,5.357277679443359,0.01114777009934187,13.18896681029221,1.105103329132343
5,full,1.059737230645367,0.9738152207999394,0.0002915824995462551,0.0002915824995462551,1072.6395328044891,1003.6743865013123,68.96514630317688,0.9686366981473462,4,0.32705541609849303,0.6650534272193909,0.439308378708326,0.9609853042049642,0.37735462113300716,0.01010185917675141,0.32028714873673725,4.07338069662726,12.333105904924357,0.4356603889629759,0.9738152207999394,0.3760729464991339,0.28141875431455415,5.54226089674851,0.00989652837401834,12.825142998530946,1.080678288689975
6,full,1.0379535078636708,0.9581476269097163,0.0002851453301853628,0.0002851453301853628,1073.1082751750946,1004.2602818012238,68.84799337387085,0.9581476269097163,6,0.2809412676063966,0.5969229936599731,0.433914745672166,0.9466277771383707,0.37428730968500207,0.008449709105042547,0.3034115839589593,4.209385245307091,12.005917568148279,0.4310888580207167,0.9581476269097163,0.3733714048204751,0.26770058356482407,5.512093784069193,0.00797685616296427,12.404029800151957,1.0550240648203884
7,full,1.0216315859025973,0.9058292043620142,0.0002770086298842426,0.0002770086298842426,1073.576015472412,1004.7274777889252,68.84853768348694,0.9058292043620142,7,0.24208283194689298,0.4946035146713257,0.4298445684321088,0.935071218735967,0.3720455091058111,0.006940283827937888,0.29109918273574004,4.310344410820242,11.761331042629077,0.4292250590077762,0.9058292043620142,0.3700840388906413,0.25567191089021746,5.679212382744098,0.006432542333315159,12.231823664698107,1.044517091636
8,full,1.009371985412814,0.9179364862113163,0.00026727472237020447,0.00026727472237020447,1072.9063692092896,1004.0705854892731,68.83578372001648,0.9058292043620142,7,inf,inf,0.4270664020184359,0.9273473386841318,0.3702736713586409,0.005848651564040113,0.2816358170260681,4.384945000241871,11.572056711085734,0.42459749990496143,0.9179364862113163,0.36900107243965413,0.2383768245063979,6.079759245905383,0.005399011659981876,12.174155182674014,1.0369952855439022
9,full,0.999824335832903,0.9211619426464213,0.00025606601717798207,0.00025606601717798207,1073.4949476718903,1004.5276072025299,68.96734046936035,0.9058292043620142,7,0.19502265181141032,0.5007262229919434,0.42482248186333776,0.9210284895326463,0.3688665315097461,0.0050851480511839905,0.27426986956248983,4.4423880807461185,11.426263521785385,0.42335510952719324,0.9211619426464213,0.36799822346917516,0.23394047278782418,6.134841813712285,0.005213136383300197,12.11368196421656,1.0327192043435984
10,full,0.9924571129716248,0.9120627510136572,0.00024352347027881003,0.00024352347027881003,1072.7808051109314,1003.8491270542145,68.93167805671692,0.9058292043620142,7,inf,inf,0.42345821539774264,0.917267004633608,0.36802870990491354,0.004539233915567787,0.268228025364181,4.4871904681796675,11.306371949201713,0.4220622366872327,0.9120627510136572,0.3673239155062314,0.2291794066799098,5.9945420758477574,0.004533123917042695,11.837355324317668,1.0176032592510356
11,full,0.9864787826874505,0.9249966395312342,0.00022980481147730046,0.00022980481147730046,1072.98464179039,1003.8714008331299,69.11324095726013,0.9058292043620142,7,0.16634645632416742,0.48310115933418274,0.42234755184021466,0.9143906192271256,0.36743691170508147,0.004155782599000695,0.2632981430899146,4.522788853367413,11.209137009696727,0.4217350955667167,0.9249966395312342,0.36725017120098247,0.2129964057741494,6.502032365470097,0.004358582172928185,11.93590710080903,1.0222029690084786
12,full,0.9815749210174098,0.9150618281857721,0.00021508256086763368,0.00021508256086763368,1072.322389125824,1003.4859187602997,68.83647036552429,0.9058292043620142,7,inf,inf,0.42140605739472103,0.9120269570431095,0.3669281459522028,0.003881880287166708,0.25927045288855677,4.551183099029986,11.129991418013544,0.4204912796102721,0.9150618281857721,0.36651301836145334,0.2080877530163732,6.587772546965501,0.003962439404607847,11.889027345591577,1.0186077931831623
13,full,0.977480566071952,0.9189772601785331,0.00019954185929327506,0.00019954185929327506,1072.307183265686,1003.4208920001984,68.88629126548767,0.9058292043620142,7,0.14739215741379677,0.32144665718078613,0.4207101904678564,0.9101480418827637,0.36649461108848363,0.003655562877042242,0.25578032806515694,4.5762110612143765,11.06210831996122,0.4198357894502837,0.9189772601785331,0.36636902731040427,0.21380544448720998,6.260776394811169,0.003854029827976021,11.702263246733567,1.0086126627593206
14,full,0.9741088596681144,0.9095302688664404,0.00018337814009344714,0.00018337814009344714,1071.6208219528198,1002.8013978004456,68.81942415237427,0.9058292043620142,7,inf,inf,0.4201522764572702,0.9084838344458422,0.3662908716710067,0.00346702876310807,0.2529016611811939,4.596656008366427,11.005873265441942,0.4195595260324149,0.9095302688664404,0.36609317906971633,0.19805977889176074,6.798045214291276,0.003396156971374976,11.834443625088396,1.0149426526036756
15,full,0.9710584462054668,0.9259995004226421,0.00016679467141549617,0.00016679467141549617,1072.5998809337616,1003.7109603881836,68.888920545578,0.9058292043620142,7,0.1327417265635235,0.24336467683315277,0.4196492384410709,0.9071583345166745,0.36608846542751133,0.0032898870079301045,0.25030882006362537,4.614998561472981,10.954966229163796,0.419247868965412,0.9259995004226421,0.36624631121240814,0.19810895323753358,6.765145571478482,0.003522111205705281,11.80592215965534,1.0132064568585364
16,full,0.9682726528198441,0.9088996546021824,0.00015,0.00015,1073.1391518115997,1004.268134355545,68.87101745605469,0.9058292043620142,7,inf,inf,0.4190979120007322,0.9058539160281602,0.36576221478771576,0.0031399987413022277,0.24801673720722184,4.6314237351797845,10.910342140431785,0.4183007791124541,0.9088996546021824,0.3654128498044507,0.18519218841503407,7.849634308650576,0.003315244274663514,12.562320104138605,1.050070920894886
17,full,0.9658138380368795,0.907932578284165,0.0001332053285845038,0.0001332053285845038,1072.9309194087982,1003.9353227615356,68.99559664726257,0.9058292043620142,7,0.1229277623451652,0.2434236854314804,0.41855666658446833,0.9045229369968725,0.3654520972146213,0.002999166571649443,0.24609037709245288,4.644814170942716,10.872052771182148,0.4179209291934967,0.907932578284165,0.36525736553915616,0.18683064466920393,7.079421165071685,0.0031416048199452203,11.828727419623013,1.0130098852617988
18,full,0.963739243570281,0.9042300051656262,0.00011662185990655284,0.00011662185990655284,1072.7843053340912,1003.9471502304077,68.83715510368347,0.9042300051656262,18,0.11848852743446095,0.24377742409706116,0.41808523623946986,0.9031319979326856,0.3652486292633908,0.0028676280915734295,0.24442972341106714,4.657596408223814,10.840030175045223,0.41773906925628923,0.9042300051656262,0.36503470313960107,0.18351733150153324,7.282052615593219,0.0030967409706449713,11.947404414209826,1.0187596510196555
19,full,0.9617739763179439,0.9018281139176467,0.00010045814070672498,0.00010045814070672498,1072.702555179596,1003.7216169834137,68.98093819618225,0.9018281139176467,19,inf,inf,0.41778966101126436,0.9023393374279233,0.36514639143654903,0.0027642916886927273,0.24272326841676162,4.669467796577266,10.80665680601553,0.4171912865392093,0.9018281139176467,0.3647487895242099,0.1792151657671764,7.244481714840593,0.002889891196813049,11.79710812404238,1.0106941901404283
20,full,0.9600768400116201,0.9039198234163481,8.491743913236628e-05,8.491743913236628e-05,1072.3809478282928,1003.4152331352234,68.96571469306946,0.9018281139176467,19,0.11262621614579225,0.26502394676208496,0.41746281649620254,0.9014924885305159,0.36505065938355,0.0026439509727346476,0.2413135525524799,4.680332500510421,10.779270094596535,0.4167741405552831,0.9039198234163481,0.3646307188889076,0.17451131415778193,7.552060410072063,0.0028018333194456224,11.98488910280425,1.0196649132103754
21,full,0.9585371029340416,0.9000999446572928,7.019518852269953e-05,7.019518852269953e-05,1072.497816324234,1003.5181205272675,68.97969579696655,0.9000999446572928,21,0.10954282902455403,0.23891352117061615,0.4170833057695371,0.900618661583567,0.3647635889245323,0.002523311351867324,0.24022155672174655,4.6875012513318675,10.756122962828794,0.4164851834034098,0.9000999446572928,0.3642916194323836,0.17699703214497403,7.269315837991648,0.0027581324367302244,11.76319493260877,1.0082878581408796
