epoch,phase,train_loss,val_metric,lr_encoder,lr_head,epoch_time_s,train_time_s,val_time_s,best_val_metric,best_epoch,grad_norm_mean,grad_norm_max,train_recon,train_recon_fg,train_fourier,train_sim,train_std,train_cov,train_vicreg,val_recon,val_recon_fg,val_fourier,val_std,val_cov,val_sim,val_vicreg,val_ssl_loss
1,random+L4,6.461554082624751,1.4077247257890373,0.000175,0.000175,1793.2563536167145,1551.69277882576,241.5635747909546,1.4077247257890373,1,4.674450343006228,6.7810211181640625,0.8399776130274761,1.4081494454408716,0.707374401664807,0.1843448099023177,0.6605872263663386,1.3347099690349555,22.458010885613096,0.8389882034268873,1.4077247257890373,0.7071565381411848,0.7175842942862675,0.6278153918940446,0.10272119333004129,21.135452507282125,6.12992289970661
2,random+L4+L3,4.00009835113777,1.011213295624174,0.00035,0.00035,950.9177937507629,869.6090376377106,81.30875611305237,1.011213295624174,2,1.3208279928729578,7.2568769454956055,0.48763393510155884,1.0801552300072887,0.3992971066911162,0.01775288067121013,0.4123110443902162,3.2822876580836584,14.033885774436904,0.46886083380929355,1.011213295624174,0.3903049251128887,0.33559783306615104,4.618821272356757,0.012483343122334315,13.320850688013538,3.8029765523713213
3,random+L4+L3+L2,3.617182819207022,0.9954866018788567,0.0003488996367313175,0.0003488996367313175,968.8957240581512,887.615531206131,81.28019285202026,0.9954866018788567,3,1.367098403168968,8.550119400024414,0.46271826018310763,1.0164726200096446,0.3878915136440034,0.012103614999421307,0.33401548654480945,3.9493650528916553,12.602342577068352,0.45040350864673484,0.9954866018788567,0.38311708754506607,0.2625984212447857,6.264847334500017,0.006475572268767603,12.991697127243569,3.7021589608028016
4,random+L4+L3+L2+L1,3.4209843025617075,0.9871092097512607,0.0003456123846318191,0.0003456123846318191,988.1983938217163,907.3807499408722,80.81764388084412,0.9871092097512607,4,inf,inf,0.45111392104735404,0.9891328890722222,0.3829229027489943,0.007703466482311945,0.29690044793797415,4.249066759472244,11.864164601074407,0.44612200547908915,0.9871092097512607,0.38151442059155166,0.2355007184990521,6.557797126112313,0.004632675291263852,12.561131944327519,3.590220122501768
5,full,3.3214245422120476,0.9667029204039738,0.00034017958280396435,0.00034017958280396435,990.3744640350342,909.4414308071136,80.93303322792053,0.9667029204039738,5,0.864553009599813,1.8483365774154663,0.4447968690399012,0.9747232473883892,0.380790234937624,0.00621901533139321,0.2776702783910409,4.394046728962039,11.49127908645232,0.44254306842540875,0.9667029204039738,0.3792573503379164,0.2151250109590333,6.833058228986016,0.0038162698326953525,12.306590277573157,3.5229832073737835
6,full,3.2629924319638794,0.9644811790564964,0.0003326695518829233,0.0003326695518829233,996.218234539032,914.8462812900543,81.37195324897766,0.9644811790564964,6,0.719735969383658,1.4371525049209595,0.43945685680384283,0.9617604078050771,0.37827087831369205,0.0055202014035076775,0.2665575765804645,4.477066997370105,11.279011447005477,0.43471247821018616,0.9644811790564964,0.3763750380483167,0.19526366005683768,7.425384909531166,0.0035486054574621136,12.395691588829303,3.5373991127671864
7,full,3.2207605924708713,0.9416854858398438,0.0003231767348649497,0.0003231767348649497,990.5190939903259,909.765038728714,80.75405526161194,0.9416854858398438,7,0.6177599132746641,1.2305725812911987,0.434172151895937,0.9476246528464592,0.3753894717643963,0.0051772860710886225,0.2587158385938479,4.5340100804720915,11.131338197029441,0.4309400172069155,0.9416854858398438,0.373385253856922,0.18386591261830823,7.623303248964507,0.0033966162547083762,12.30486642903295,3.510890482211935
8,full,3.189511590757253,0.9438129334614195,0.0003118205094319052,0.0003118205094319052,989.3665041923523,908.626612663269,80.73989152908325,0.9416854858398438,7,0.5560346548816909,1.2029874324798584,0.4306752909591959,0.9378514730948612,0.3731489869897351,0.004920012322240195,0.25286824720128914,4.575712763093001,11.020419242191899,0.42884522779234524,0.9438129334614195,0.37243720395811675,0.1668742374099534,8.196263227791622,0.0032303089645273728,12.448876867623165,3.5447888061918063
9,full,3.1666504760827023,0.9321015608721765,0.0002987436867076458,0.0002987436867076458,999.6070613861084,917.961062669754,81.64599871635437,0.9321015608721765,9,0.5123739373510235,1.1061408519744873,0.42819220376160977,0.9311245307783408,0.3715808981675312,0.004684274296984762,0.24860823859512074,4.606657011377299,10.938969836644599,0.4259253179204875,0.9321015608721765,0.37043110974903765,0.15462773277841765,8.85860750592988,0.003244083349047036,12.805402913586846,3.630980373251027
10,full,3.1452325507541374,0.9150246718834186,0.00028411071532527836,0.00028411071532527836,996.6213009357452,915.9498188495636,80.67148208618164,0.9150246718834186,10,inf,inf,0.42630875995096984,0.9258951786562709,0.37046362935034044,0.004468419354486114,0.2445089183176405,4.636443186025678,10.860876627494953,0.42436588899842625,0.9150246718834186,0.36918868669148147,0.15384228825569152,8.41160350339166,0.0031264338273041207,12.335821592396703,3.5120131772139977
11,full,3.1294207126816356,0.9210056650227514,0.0002681056133901839,0.0002681056133901839,995.9907891750336,915.2988872528076,80.69190192222595,0.9150246718834186,10,inf,inf,0.42485574223786776,0.9217689882941041,0.3696249427239588,0.0042901150544782515,0.2415405224117399,4.657708935576714,10.80347487312153,0.4229330021759559,0.9210056650227514,0.36855516104862607,0.13540540167997622,9.154418366530846,0.003004571096971631,12.614667668835871,3.580285470239047
12,full,3.115836636603244,0.9099368876424329,0.0002509296543455727,0.0002509296543455727,989.1101803779602,908.4146931171417,80.69548726081848,0.9099368876424329,12,0.42095987742161095,0.9232770800590515,0.4237098305777538,0.918762750009452,0.3688427075697966,0.004109108302223731,0.2389246082059079,4.677910564867266,10.753753510720891,0.42224866192916344,0.9099368876424329,0.3678545253030185,0.13205832690000535,9.219345569610596,0.002870552787749932,12.592567562234812,3.574069088902967
13,full,3.104041435601521,0.9060788368356639,0.00023279883584215427,0.00023279883584215427,995.4540438652039,914.7654373645782,80.68860650062561,0.9060788368356639,13,inf,inf,0.42267170198764537,0.9158411775629944,0.3681619044827537,0.003935217728804043,0.23674099073042534,4.6938472368234505,10.710752439645171,0.4216992355626205,0.9060788368356639,0.36720468340248896,0.12382029942397414,9.48337560193292,0.002922622999176383,12.651948665750437,3.588358453224445
14,full,3.094010114304127,0.9124288690501245,0.00021394116344235502,0.00021394116344235502,992.9168419837952,912.134039402008,80.78280258178711,0.9060788368356639,13,0.389927583638053,0.9561776518821716,0.42190995510736123,0.9137441506323639,0.36773714119214224,0.0037461196256664358,0.23480264668815706,4.709971987030989,10.673691142556127,0.4206495940685272,0.9124288690501245,0.36721877599584646,0.12391390014311363,9.318382559151486,0.0027546984593159168,12.485097523393302,3.545596150694222
15,full,3.0857372693488934,0.9038274982879901,0.00019459378331807887,0.00019459378331807887,990.6850214004517,910.0166053771973,80.6684160232544,0.9038274982879901,15,0.3730926600747679,0.8621507287025452,0.4213129688122887,0.9122865782833538,0.36744431022303237,0.0036120201961674435,0.233278367234154,4.720739761013195,10.642999446465193,0.42008212496494424,0.9038274982879901,0.36657320322661563,0.11781806421690974,9.775397478300949,0.0027566003340200105,12.789764095174855,3.621188887234392
